metodo,path,tagActualOpenApi,tagPropuesto,summary,estadoCobertura,envelope200,calidadResultado,calidadRequestBody,severidad,accionSugerida
POST,/api/v1/auth/login,Auth,,"Inicio de sesion",documentado,ApiEnvelopeLogin,estructura_tipada,body_tipado,ok,OK
POST,/api/v1/auth/logout,Auth,,"Cierre de sesion",documentado,ApiEnvelopeEmpty,envelope_vacio_ok,n/a,ok,OK
GET,/api/v1/auth/me,Auth,,"Contexto de sesion del usuario autenticado",documentado,ApiEnvelopeSessionContext,estructura_tipada,n/a,ok,OK
POST,/api/v1/auth/password/change,Auth,,"Cambio de contraseña autenticado",documentado,ApiEnvelopeSessionContext,estructura_tipada,body_tipado,ok,OK
POST,/api/v1/auth/password/forgot,Auth,,"Solicitud de recuperacion de contraseña",documentado,ApiEnvelopeEmpty,envelope_vacio_ok,body_tipado,ok,OK
POST,/api/v1/auth/password/reset,Auth,,"Confirmacion de recuperacion de contraseña",documentado,ApiEnvelopeEmpty,envelope_vacio_ok,body_tipado,ok,OK
GET,/api/v1/chat-assistant/me/configuration,ChatAssistant,,"Configuración personal activa del Chat Asistente IA",documentado,ApiEnvelopeChatAssistantConfiguration,estructura_tipada,n/a,ok,OK
PUT,/api/v1/chat-assistant/me/configuration,ChatAssistant,,"Guardar configuración personal del Chat Asistente IA",documentado,ApiEnvelopeChatAssistantConfigurationSaved,estructura_tipada,body_tipado,ok,OK
PATCH,/api/v1/chat-assistant/me/configuration/status,ChatAssistant,,"Habilitar o deshabilitar la configuración del Chat Asistente IA",documentado,ApiEnvelopeChatAssistantConfiguration,estructura_tipada,body_tipado,ok,OK
GET,/api/v1/chat-assistant/me/configurations,ChatAssistant,,"Listar configuraciones personales del Chat Asistente IA",documentado,none,sin_schema_json,n/a,alto,"Completar estructura de resultado o examples"
POST,/api/v1/chat-assistant/me/configurations,ChatAssistant,,"Crear configuración personal del Chat Asistente IA",documentado,none,sin_schema_json,body_tipado,alto,"Completar estructura de resultado o examples"
DELETE,/api/v1/chat-assistant/me/configurations/{credentialId},ChatAssistant,,"Eliminar configuración personal del Chat Asistente IA",documentado,none,sin_schema_json,n/a,alto,"Completar estructura de resultado o examples"
PUT,/api/v1/chat-assistant/me/configurations/{credentialId},ChatAssistant,,"Actualizar configuración personal del Chat Asistente IA",documentado,none,sin_schema_json,body_tipado,alto,"Completar estructura de resultado o examples"
PATCH,/api/v1/chat-assistant/me/configurations/{credentialId}/status,ChatAssistant,,"Habilitar o deshabilitar una configuración específica",documentado,none,sin_schema_json,body_tipado,alto,"Completar estructura de resultado o examples"
POST,/api/v1/chat-assistant/messages,ChatAssistant,,"Enviar consulta al Chat Asistente IA",documentado,ApiEnvelopeChatAssistantMessageReply,estructura_tipada,body_tipado,ok,OK
GET,/api/v1/chat-assistant/providers,ChatAssistant,,"Catálogo de proveedores IA activos",documentado,ApiEnvelopeChatAssistantProviderCatalog,estructura_tipada,n/a,ok,OK
GET,/api/v1/excel-import/historial,ExcelImport,,"Historial de importaciones Excel",documentado,ApiEnvelope,ApiEnvelope_generico_sin_estructura,n/a,critico,"Crear ApiEnvelopeXxx con estructura de resultado"
GET,/api/v1/excel-import/lotes/{guidImportacion},ExcelImport,,"Detalle de lote de importacion",documentado,ApiEnvelope,ApiEnvelope_generico_sin_estructura,n/a,critico,"Crear ApiEnvelopeXxx con estructura de resultado"
POST,/api/v1/excel-import/lotes/{guidImportacion}/cancelar,ExcelImport,,"Cancelar lote de importacion",documentado,ApiEnvelope,ApiEnvelope_generico_sin_estructura,n/a,critico,"Crear ApiEnvelopeXxx con estructura de resultado"
GET,/api/v1/excel-import/procesos/{codigoProceso},ExcelImport,,,documentado,none,sin_schema_json,n/a,alto,"Completar estructura de resultado o examples"
POST,/api/v1/excel-import/procesos/{codigoProceso}/archivo/hojas,ExcelImport,,"Listar hojas de un archivo Excel",documentado,ApiEnvelope,ApiEnvelope_generico_sin_estructura,n/a,critico,"Crear ApiEnvelopeXxx con estructura de resultado"
POST,/api/v1/excel-import/procesos/{codigoProceso}/lotes,ExcelImport,,"Crear lote de importacion Excel",documentado,ApiEnvelope,ApiEnvelope_generico_sin_estructura,n/a,critico,"Crear ApiEnvelopeXxx con estructura de resultado"
GET,/api/v1/excel-import/procesos/{codigoProceso}/plantilla,ExcelImport,,,documentado,none,sin_schema_json,n/a,alto,"Completar estructura de resultado o examples"
GET,/api/v1/user/menu,Menu,,"Menu autorizado del usuario",documentado,ApiEnvelopeMenuList,estructura_tipada,n/a,ok,OK
GET,/api/v1/articulos,PedidosWeb,,"Autocompletar articulos para carga de comprobantes",documentado,ApiEnvelope,ApiEnvelope_generico_sin_estructura,n/a,critico,"Crear ApiEnvelopeXxx con estructura de resultado"
GET,/api/v1/clientes/{codCliente}/cabecera-inicial,PedidosWeb,,"Inicializar cabecera de comprobante desde cliente (HU-101-005)",documentado,ApiEnvelope,ApiEnvelope_generico_sin_estructura,n/a,critico,"Crear ApiEnvelopeXxx con estructura de resultado"
POST,/api/v1/comprobantes/copiar,PedidosWeb,,"Copiar comprobante existente a pedido o presupuesto",documentado,ApiEnvelope,ApiEnvelope_generico_sin_estructura,body_tipado,critico,"Crear ApiEnvelopeXxx con estructura de resultado"
POST,/api/v1/comprobantes/grabar,PedidosWeb,,"Grabar pedido o presupuesto (contrato unificado)",documentado,ApiEnvelope,ApiEnvelope_generico_sin_estructura,body_object_vacio,critico,"Tipar request body + resultado"
